City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
141,Tura,IN,25.52,90.22,72.66,82,0,4.54,clear sky
142,Amga,RU,60.9,131.96,-0.62,91,100,2.57,overcast clouds
143,Manta,EC,-0.95,-80.73,77.0,73,90,6.93,overcast clouds
144,Bambous Virieux,MU,-20.34,57.76,69.8,52,40,16.11,shower rain
145,Amambai,BR,-23.1,-55.23,77.02,65,34,9.37,scattered clouds
146,Udomlya,RU,57.88,34.99,42.84,86,100,3.24,overcast clouds
147,Camana,PE,-16.62,-72.71,68.7,63,45,9.28,scattered clouds
148,Mar Del Plata,AR,-38.0,-57.56,62.6,36,0,3.36,clear sky
149,Buala,SB,-8.14,159.59,78.15,80,100,1.21,overcast clouds
150,Qiongshan,CN,20.01,110.35,75.2,88,75,13.42,broken clouds
151,Jamestown,US,42.1,-79.24,37.0,100,90,5.82,mist
152,Ponot,PH,8.45,123.02,80.65,79,100,9.89,moderate rain
153,Filadelfia,US,39.95,-75.16,43.0,87,90,14.99,overcast clouds
154,Georgetown,MY,5.41,100.34,82.4,83,20,3.36,few clouds
155,Bredasdorp,ZA,-34.53,20.04,64.4,42,0,10.29,clear sky
156,Hermanus,ZA,-34.42,19.23,63.0,57,0,8.01,clear sky
157,Gela,IT,37.08,14.23,68.0,88,75,12.75,broken clouds
158,Saint-Philippe,RE,-21.36,55.77,68.0,68,40,11.41,scattered clouds
159,Barrow,US,71.29,-156.79,24.8,79,75,16.11,broken clouds
160,Goderich,CA,43.75,-81.72,37.99,84,66,10.07,broken clouds
161,Toora-Khem,RU,52.47,96.11,23.13,91,100,3.2,overcast clouds
162,Zhezkazgan,KZ,47.8,67.71,41.25,60,0,8.34,clear sky
163,Kailua,US,21.4,-157.74,73.4,73,40,7.38,scattered clouds
164,Peniche,PT,39.36,-9.38,73.0,69,0,4.0,clear sky
165,Tuktoyaktuk,CA,69.45,-133.04,4.77,93,65,7.76,broken clouds
166,Te Anau,NZ,-45.42,167.72,54.03,91,100,1.97,light rain
167,Celestun,MX,20.87,-90.4,78.26,83,95,15.9,light rain
168,Jackson,US,42.42,-122.83,37.4,64,1,3.36,clear sky
169,Ust-Kuyga,RU,70.02,135.6,3.47,93,100,1.03,overcast clouds
170,George Town,MY,5.41,100.34,82.4,83,20,3.36,few clouds
171,Gomel,BY,52.43,30.98,50.0,93,90,4.47,mist
172,Cabo San Lucas,MX,22.89,-109.91,77.0,68,5,1.9,clear sky
173,Marsh Harbour,BS,26.54,-77.06,82.8,73,12,8.14,few clouds
174,Talnakh,RU,69.49,88.4,10.4,72,100,17.9,overcast clouds
175,Port Hedland,AU,-20.32,118.57,80.6,51,63,14.99,broken clouds
176,San Cristobal,VE,7.77,-72.22,82.4,69,75,2.24,broken clouds
177,Ponta Do Sol,PT,32.67,-17.1,75.2,64,20,23.04,few clouds
178,Ahuimanu,US,21.44,-157.84,73.4,73,40,6.02,scattered clouds
179,Maldonado,UY,-34.67,-54.92,59.0,71,0,9.17,clear sky
180,Pontianak,ID,-0.03,109.33,77.63,90,100,3.06,overcast clouds
181,Thunder Bay,CA,48.4,-89.32,28.99,74,0,5.73,clear sky
182,Rio Grande,BR,-32.03,-52.1,66.99,71,56,4.0,broken clouds
183,Nalut,LY,30.33,10.85,70.21,26,0,7.27,clear sky
184,Floriano,BR,-6.77,-43.02,97.66,30,91,5.23,overcast clouds
185,Okhotsk,RU,59.38,143.3,21.72,89,100,14.56,overcast clouds
